time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1656470947.45454812,0.00114937,0.00000072,-nan,623.00000000,0.00095764,0.000000,0.000000
1656470947.48772097,0.00114856,0.00000062,-nan,623.00000000,0.00106975,0.000000,0.000000
1656470947.52089310,0.00115090,0.00000038,-nan,623.00000000,0.00138050,0.000000,0.000000
1656470947.55406594,0.00114790,0.00000080,-nan,623.00000000,0.00085126,0.000000,0.000000
1656470947.58723807,0.00114666,0.00000073,-nan,623.00000000,0.00102267,0.000000,0.000000
1656470947.62041092,0.00114902,0.00000076,-nan,623.00000000,0.00138679,0.000000,0.000000
1656470947.65358305,0.00114873,0.00000061,-nan,623.00000000,0.00111978,0.000000,0.000000
1656470947.68675613,0.00114790,0.00000066,-nan,623.00000000,0.00106237,0.000000,0.000000
1656470947.71992803,0.00115023,0.00000089,-nan,623.00000000,0.00139260,0.000000,0.000000
1656470947.75310111,0.00114949,0.00000066,-nan,623.00000000,0.00107119,0.000000,0.000000
1656470947.78627300,0.00114971,0.00000068,-nan,623.00000000,0.00117285,0.000000,0.000000
1656470947.81944609,0.00115006,0.00000065,-nan,623.00000000,0.00118782,0.000000,0.000000
1656470947.85261798,0.00114920,0.00000072,-nan,623.00000000,0.00105674,0.000000,0.000000
1656470947.88579106,0.00114827,0.00000064,-nan,623.00000000,0.00104635,0.000000,0.000000
1656470947.91896296,0.00114714,0.00000094,-nan,623.00000000,0.00102339,0.000000,0.000000
1656470947.95213604,0.00114865,0.00000078,-nan,623.00000000,0.00131557,0.000000,0.000000
1656470947.98530793,0.00114756,0.00000049,-nan,623.00000000,0.00102601,0.000000,0.000000
1656470948.01848102,0.00114976,0.00000077,-nan,623.00000000,0.00139863,0.000000,0.000000
1656470948.05165410,0.00115140,0.00000063,-nan,623.00000000,0.00133765,0.000000,0.000000
1656470948.08482599,0.00115902,0.00000066,-nan,623.00000000,0.00203613,0.000000,0.000000
1656470948.11799908,0.00115551,0.00000067,-nan,623.00000000,0.00074754,0.000000,0.000000
1656470948.15117097,0.00115542,0.00000067,-nan,623.00000000,0.00114553,0.000000,0.000000
1656470948.18434405,0.00115527,0.00000045,-nan,623.00000000,0.00113689,0.000000,0.000000
1656470948.21751595,0.00115505,0.00000070,-nan,623.00000000,0.00112894,0.000000,0.000000
1656470948.25068903,0.00115866,0.00000053,-nan,623.00000000,0.00159184,0.000000,0.000000
1656470948.28386092,0.00116122,0.00000062,-nan,623.00000000,0.00147091,0.000000,0.000000
1656470948.31703401,0.00116098,0.00000046,-nan,623.00000000,0.00113223,0.000000,0.000000
1656470948.35020614,0.00116161,0.00000075,-nan,623.00000000,0.00123884,0.000000,0.000000
1656470948.38337898,0.00116410,0.00000092,-nan,623.00000000,0.00147305,0.000000,0.000000
1656470948.41655111,0.00117089,0.00000070,-nan,623.00000000,0.00201991,0.000000,0.000000
1656470948.44972396,0.00117108,0.00000064,-nan,623.00000000,0.00119533,0.000000,0.000000
1656470948.48289609,0.00117352,0.00000060,-nan,623.00000000,0.00148224,0.000000,0.000000
1656470948.51606894,0.00118036,0.00000087,-nan,623.00000000,0.00205670,0.000000,0.000000
1656470948.54924107,0.00118344,0.00000052,-nan,623.00000000,0.00158069,0.000000,0.000000
1656470948.58241391,0.00118451,0.00000083,-nan,623.00000000,0.00132368,0.000000,0.000000
1656470948.61558604,0.00118505,0.00000060,-nan,623.00000000,0.00125523,0.000000,0.000000
1656470948.64875913,0.00118347,0.00000050,-nan,623.00000000,0.00097569,0.000000,0.000000
1656470948.68193197,0.00118315,0.00000064,-nan,623.00000000,0.00113996,0.000000,0.000000
1656470948.71510410,0.00118334,0.00000062,-nan,623.00000000,0.00120845,0.000000,0.000000
1656470948.74827695,0.00118569,0.00000058,-nan,623.00000000,0.00150322,0.000000,0.000000
1656470948.78144908,0.00118789,0.00000078,-nan,623.00000000,0.00148788,0.000000,0.000000
1656470948.81462193,0.00119066,0.00000110,-nan,623.00000000,0.00156911,0.000000,0.000000
1656470948.84779406,0.00119298,0.00000061,-nan,623.00000000,0.00151385,0.000000,0.000000
1656470948.88096714,0.00119444,0.00000114,-nan,623.00000000,0.00139737,0.000000,0.000000
1656470948.91413903,0.00119741,0.00000114,-nan,623.00000000,0.00161239,0.000000,0.000000
1656470948.94731212,0.00119776,0.00000064,-nan,623.00000000,0.00124714,0.000000,0.000000
1656470948.98048401,0.00119852,0.00000064,-nan,623.00000000,0.00130653,0.000000,0.000000
